stnm,stlon,stlat,Rhyp,Rrup,Repi,siteClass,AVS30,AVS20,Ts,sigma,valid,event.num,mag,eq.type,depth,resids,model,pred.type,pred,obs,eqlon,eqlat
IBR006,140.4528,36.369,79.781877,79.781877,62.96148,hard-soil,393,331,0.214417,0.21,0,20040408020.69,5.6,intra-plate,49,0.1866813816,1990FT,PGA2,34.021885,52.292542,140.4528,36.369
CHB005,140.83,35.7358,92.316573,92.316573,78.239055,hard-soil,505,430,0.254278,0.21,0,20040408020.69,5.6,intra-plate,49,-0.4406663031,1990FT,PGA2,27.003327,9.789285,140.83,35.7358
TCG006,140.1297,36.7639,111.9246,111.9246,100.628605,rock,487,413,0.134737,0.21,0,20040408020.69,5.6,intra-plate,49,0.0771354446,1990FT,PGA2,10.870818,12.983676,140.1297,36.7639
IBR008,139.9828,36.3062,116.363309,116.363309,105.54345,rock,557,476,0.088,0.21,0,20040408020.69,5.6,intra-plate,49,0.3660392148,1990FT,PGA2,10.125998,23.522152,139.9828,36.3062
FKS016,140.1914,37.1228,128.070611,128.070611,118.326166,hard-soil,302,250,0.391762,0.21,0,20040408020.69,5.6,intra-plate,49,0.4635402084,1990FT,PGA2,15.063036,43.797843,140.1914,37.1228
TCG012,139.8047,36.2859,131.180349,131.180349,121.685184,hard-soil,379,318,0.322957,0.21,0,20040408020.69,5.6,intra-plate,49,0.2204420804,1990FT,PGA2,14.373221,23.877903,139.8047,36.2859
CHB018,140.3222,35.1577,163.560998,163.560998,156.048711,hard-soil,343,286,0.247977,0.21,0,20040408020.69,5.6,intra-plate,49,-0.6389604238,1990FT,PGA2,9.054255,2.079181,140.3222,35.1577
TCG010,139.4376,36.6347,163.635575,163.635575,156.126876,rock,540,461,0.149865,0.21,0,20040408020.69,5.6,intra-plate,49,0.093047783,1990FT,PGA2,5.071989,6.283854,139.4376,36.6347
TCG004,139.4204,36.8061,169.09789,169.09789,161.842814,hard-soil,452,383,0.280026,0.21,0,20040408020.69,5.6,intra-plate,49,-0.0999281105,1990FT,PGA2,8.399702,6.673225,139.4204,36.8061
GNM009,139.3251,36.4106,171.236913,171.236913,164.076447,hard-soil,414,349,0.29666,0.21,0,20040408020.69,5.6,intra-plate,49,0.358903976,1990FT,PGA2,8.161852,18.650595,139.3251,36.4106
