"stnm","stlon","stlat","Rhyp","Rrup","Repi","siteClass","AVS30","AVS20","Ts","PGA1","PGA2","PGA3","PGA4","PGA5","PGA1.1","PGA2.1","PGA3.1","PGA4.1","PGA5.1","sigma","valid","event.num","mag","eq.type","depth","resids","model"
"IBR006",140.4528,36.369,79.781877,79.781877,62.96148,"hard-soil",393,331,0.214417,57.434781,52.292542,60.151496,40.608771,56.179081,-1,34.021885,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.186681381640159,"1990FT"
"CHB005",140.83,35.7358,92.316573,92.316573,78.239055,"hard-soil",505,430,0.254278,10.856336,9.789285,12.237154,8.650367,3.991696,-1,27.003327,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.440666303084799,"1990FT"
"TCG006",140.1297,36.7639,111.9246,111.9246,100.628605,"rock",487,413,0.134737,14.619638,12.983676,15.548628,10.513164,11.172454,-1,10.870818,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0771354445750705,"1990FT"
"IBR008",139.9828,36.3062,116.363309,116.363309,105.54345,"rock",557,476,0.088,24.699687,23.522152,25.606563,15.966195,11.974957,-1,10.125998,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.366039214781517,"1990FT"
"FKS016",140.1914,37.1228,128.070611,128.070611,118.326166,"hard-soil",302,250,0.391762,54.066704,43.797843,54.067666,25.744597,11.605538,-1,15.063036,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.463540208421381,"1990FT"
"TCG012",139.8047,36.2859,131.180349,131.180349,121.685184,"hard-soil",379,318,0.322957,26.184019,23.877903,29.52068,20.850139,11.442038,-1,14.373221,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.220442080355411,"1990FT"
"CHB018",140.3222,35.1577,163.560998,163.560998,156.048711,"hard-soil",343,286,0.247977,2.497361,2.079181,2.717667,1.636106,1.103188,-1,9.054255,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.638960423772218,"1990FT"
"TCG010",139.4376,36.6347,163.635575,163.635575,156.126876,"rock",540,461,0.149865,10.654647,6.283854,10.66933,3.697756,4.72304,-1,5.071989,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0930477830345274,"1990FT"
"TCG004",139.4204,36.8061,169.09789,169.09789,161.842814,"hard-soil",452,383,0.280026,6.969158,6.673225,7.444153,4.740068,5.454672,-1,8.399702,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0999281105435045,"1990FT"
"GNM009",139.3251,36.4106,171.236913,171.236913,164.076447,"hard-soil",414,349,0.29666,19.584476,18.650595,20.242673,12.950659,8.209271,-1,8.161852,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.358903976045017,"1990FT"
"FKS029",139.3801,37.0159,179.859227,179.859227,173.055891,"rock",454,385,0.16092,12.006975,10.707971,13.293435,9.03378,2.141678,-1,4.08206,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.418827802445377,"1990FT"
"MYG016",140.621,38.0085,192.104797,192.104797,185.750513,"hard-soil",444,375,0.282344,7.693591,6.8569,8.021198,4.912874,3.253657,-1,6.210236,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.043019711374066,"1990FT"
"KNG008",139.3265,35.5751,194.260955,194.260955,187.979569,"hard-soil",330,275,0.35939,8.298941,6.902413,8.901555,5.600974,2.240432,-1,6.04132,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0578691010826053,"1990FT"
"GNM003",139.0784,36.6578,194.526945,194.526945,188.254436,"hard-soil",395,333,0.310319,11.445796,10.734438,11.629735,5.925814,4.882078,-1,6.02085,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.251121504362047,"1990FT"
"GNM002",138.9695,36.7819,206.176257,206.176257,200.268941,"rock",465,394,0.122909,11.355562,10.071897,14.359032,9.98976,2.447985,-1,2.914576,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.538535891427038,"1990FT"
"MYG012",141.0193,38.3175,219.786533,219.786533,214.254802,"rock",430,363,0.156303,8.133276,7.884597,10.281961,7.170808,5.38086,-1,2.463722,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.505187798842026,"1990FT"
"NIG019",138.7898,37.3057,239.133136,239.133136,234.059088,"hard-soil",395,332,0.312805,2.922415,2.525617,3.085068,1.809838,0.487194,-1,3.480985,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.139334659716514,"1990FT"
"TKY008",139.3909,34.7852,244.198275,244.198275,239.231682,"hard-soil",445,377,0.282535,2.880178,2.401336,2.947326,1.547084,0.895892,-1,3.278563,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.135230601661629,"1990FT"
"NGN014",138.4844,36.0956,247.073836,247.073836,242.166225,"hard-soil",314,261,0.294689,2.540051,2.104881,2.691123,1.667916,0.722096,-1,3.169499,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.177763071171796,"1990FT"
"IBRH18",140.6198,36.3631,68.612749,68.612749,48.028214,"rock",558,487,0.138889,81.270624,71.191777,83.327144,51.855779,32.495787,-1,23.840721,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.475110448024446,"1990FT"
"IBRH13",140.575,36.7955,84.322152,84.322152,68.623796,"hard-soil",335,287,0.317815,37.311757,35.556163,38.879131,26.05298,23.633931,-1,31.226023,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0563982132069734,"1990FT"
"IBRH15",140.3013,36.5566,92.643562,92.643562,78.624612,"rock",450,343,0.164912,69.003732,58.058722,71.553001,40.776162,27.235137,-1,15.054462,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.58620223204343,"1990FT"
"IBRH17",140.314,36.0864,96.111734,96.111734,82.682921,"soft-soil",300,272,2.746074,38.86427,37.7208,41.710765,29.479109,21.432632,-1,32.815592,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0605006514542086,"1990FT"
"FKSH13",140.5853,36.9951,97.432078,97.432078,84.214072,"rock",561,428,0.170909,36.528559,28.070809,36.571694,21.439651,12.272732,-1,13.844431,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.30697981803373,"1990FT"
"IBRH12",140.3181,36.8369,102.236696,102.236696,89.729271,"hard-soil",485,400,0.2,45.284856,41.021489,50.194008,33.415569,20.105792,-1,22.745193,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.256121794055994,"1990FT"
"TCGH13",140.1781,36.7342,107.200365,107.200365,95.346307,"rock",573,456,0.106667,45.284554,42.223745,48.354747,28.45605,13.96533,-1,11.741409,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.555836533547984,"1990FT"
"FKSH12",140.5703,37.2169,116.339528,116.339528,105.517229,"hard-soil",448,357,0.244,42.452035,38.644079,46.830578,30.111308,18.080565,-1,18.064835,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.330248962088195,"1990FT"
"TCGH12",139.9842,36.6959,120.518725,120.518725,110.107961,"medium-soil",343,305,0.523077,20.998537,20.396808,24.150768,16.888986,14.218612,-1,13.754601,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.171114211108086,"1990FT"
"TCGH10",140.0225,36.8578,123.851419,123.851419,113.746094,"hard-soil",371,306,0.277333,36.798698,32.716524,41.466082,28.666651,14.879633,-1,16.065595,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.30887034082577,"1990FT"
"TCGH15",139.8637,36.5595,126.989967,126.989967,117.155673,"hard-soil",423,337,0.251034,18.689803,17.61377,20.129936,13.836921,9.686776,-1,15.312265,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.0608128844752471,"1990FT"
"FKSH20",140.9871,37.4911,132.491338,132.491338,123.097339,"medium-soil",350,350,0.589714,20.894997,20.464869,22.714634,15.821674,8.484892,-1,11.45967,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.251836857389129,"1990FT"
"FKSH09",140.4264,37.353,134.277061,134.277061,125.017315,"rock",584,433,0.16381,35.549278,32.488684,38.299331,24.269442,5.981303,-1,7.695958,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.625469431077237,"1990FT"
"FKSH19",140.7227,37.4703,135.09439,135.09439,125.894775,"hard-soil",338,255,0.313725,24.352693,24.062619,26.728413,18.024033,13.713746,-1,13.559245,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.249107386623619,"1990FT"
"FKSH10",140.093,37.1616,136.762701,136.762701,127.683344,"rock",487,401,0.106667,42.264283,41.015595,45.381486,32.020865,29.586912,-1,7.418404,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.742638535156222,"1990FT"
"TCGH11",139.7694,36.7084,137.903636,137.903636,128.904666,"hard-soil",328,256,0.3,27.725916,26.425783,28.910804,18.942442,11.757538,-1,13.009593,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.307764154340102,"1990FT"
"TCGH09",139.8364,36.8625,137.98283,137.98283,128.989385,"rock",468,378,0.133333,10.265722,9.796102,11.08022,6.962078,5.707834,-1,7.286633,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.128526402168959,"1990FT"
"FKSH08",140.2144,37.2822,138.66766,138.66766,129.721701,"rock",562,473,0.115556,25.469331,20.15161,27.587845,17.823733,5.822201,-1,7.213921,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.446138367514931,"1990FT"
"FKSH18",140.538,37.4894,142.470341,142.470341,133.778914,"hard-soil",307,251,0.390649,26.163746,24.960372,34.390147,24.165064,10.661238,-1,12.172729,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.31186310014146,"1990FT"
"FKSH05",139.8725,37.2544,157.079996,157.079996,149.241834,"rock",596,458,0.153333,4.928712,4.694822,4.930655,3.143196,1.744007,-1,5.550605,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,-0.0727211915283031,"1990FT"
"FKSH17",140.5974,37.6636,157.578847,157.578847,149.766795,"rock",543,434,0.133333,18.086997,15.821763,18.531207,11.99121,5.130082,-1,5.512352,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.457917932419617,"1990FT"
"TCGH07",139.4534,36.8817,168.846905,168.846905,161.58056,"hard-soil",419,343,0.252727,14.921121,12.995873,18.392178,12.714502,4.216272,-1,8.428141,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.188073666024043,"1990FT"
"FKSH16",140.3766,37.7643,174.473229,174.473229,167.45121,"rock",531,462,0.088889,7.081723,6.115061,7.471038,4.730231,2.66216,-1,4.383269,-1,-1,-1,0.21,0,20040408020.69,5.6,"intra-plate",49,0.144602669638895,"1990FT"
